Date,Time,Lat,Long,Alt,DIN2,SSID,WIFI,INT,Registration
09/10/2025,00:46:50,,,,,SDL-Maintenance,1,1,SDL-Maintenance
09/10/2025,00:46:59,,,,,SDL-Maintenance,1,1,SDL-Maintenance
09/10/2025,00:47:08,,,,,SDL-Maintenance,1,1,SDL-Maintenance
09/10/2025,00:47:15,,,,,SDL-Maintenance,1,1,SDL-Maintenance
06/10/2025,13:56:43,,,,,,0,0,
06/10/2025,13:56:48,,,,,,0,0,
06/10/2025,13:56:56,,,,,,0,0,
06/10/2025,13:57:03,,,,,,0,0,
06/10/2025,13:57:09,,,,,,0,0,
06/10/2025,13:57:14,,,,,,0,0,
06/10/2025,13:57:19,,,,,,0,0,
06/10/2025,13:57:24,,,,,,0,0,
06/10/2025,13:57:29,,,,,,0,0,
06/10/2025,13:57:34,,,,,,0,0,
06/10/2025,13:57:39,,,,,,0,0,
06/10/2025,13:58:18,,,,,,0,0,
06/10/2025,13:58:23,,,,,,0,0,
06/10/2025,13:58:28,,,,,,0,0,
06/10/2025,13:58:33,,,,,,0,0,
06/10/2025,13:58:38,,,,,,0,0,
06/10/2025,13:58:43,,,,,,0,0,
06/10/2025,13:58:48,,,,,,0,0,
06/10/2025,13:58:53,,,,,,0,0,
06/10/2025,13:58:58,,,,,,0,0,
06/10/2025,13:59:03,,,,,,0,0,
06/10/2025,13:59:08,,,,,,0,0,
06/10/2025,13:59:13,,,,,,0,0,
06/10/2025,13:59:49,,,,,,0,0,
06/10/2025,13:59:54,,,,,,0,0,
06/10/2025,13:59:59,,,,,,0,0,
06/10/2025,14:00:04,,,,,,0,0,
06/10/2025,14:00:09,,,,,,0,0,
06/10/2025,14:00:14,,,,,,0,0,
06/10/2025,14:00:19,,,,,,0,0,
06/10/2025,14:00:24,,,,,,0,0,
06/10/2025,14:00:29,,,,,,0,0,
06/10/2025,14:00:34,,,,,,0,0,
06/10/2025,14:00:39,,,,,,0,0,
06/10/2025,14:00:44,,,,,,0,0,
06/10/2025,14:01:21,,,,,,0,0,
06/10/2025,14:01:26,,,,,,0,0,
06/10/2025,14:01:31,,,,,,0,0,
06/10/2025,14:01:36,,,,,,0,0,
06/10/2025,14:01:41,,,,,,0,0,
06/10/2025,14:01:46,,,,,,0,0,
06/10/2025,14:01:51,,,,,,0,0,
06/10/2025,14:01:56,,,,,,0,0,
06/10/2025,14:02:01,,,,,,0,0,
06/10/2025,14:02:06,,,,,,0,0,
06/10/2025,14:02:11,,,,,,0,0,
06/10/2025,14:02:16,,,,,,0,0,
06/10/2025,14:02:52,,,,,,0,0,
06/10/2025,14:02:57,,,,,,0,0,
06/10/2025,14:03:02,,,,,,0,0,
06/10/2025,14:03:07,,,,,,0,0,
06/10/2025,14:03:13,,,,,,0,0,
06/10/2025,14:03:18,,,,,,0,0,
06/10/2025,14:03:23,,,,,,0,0,
06/10/2025,14:03:28,,,,,,0,0,
06/10/2025,14:03:33,,,,,,0,0,
06/10/2025,14:03:38,,,,,,0,0,
06/10/2025,14:03:43,,,,,,0,0,
06/10/2025,14:03:48,,,,,,0,0,
06/10/2025,14:04:24,,,,,,0,0,
06/10/2025,14:04:29,,,,,,0,0,
06/10/2025,14:04:34,,,,,,0,0,
06/10/2025,14:04:39,,,,,,0,0,
06/10/2025,14:04:44,,,,,,0,0,
06/10/2025,14:04:49,,,,,,0,0,
06/10/2025,14:04:54,,,,,,0,0,
06/10/2025,14:04:59,,,,,,0,0,
06/10/2025,14:05:04,,,,,,0,0,
06/10/2025,14:05:09,,,,,,0,0,
06/10/2025,14:05:14,,,,,,0,0,
06/10/2025,14:05:24,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:05:35,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:05:45,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:05:55,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:06:05,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:06:15,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:06:26,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:06:36,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:06:46,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:06:56,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:07:06,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:07:16,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:07:26,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:07:36,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:07:47,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:07:57,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:08:07,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:08:17,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:08:27,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:08:37,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:08:47,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:08:57,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:09:07,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:09:17,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:09:27,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:09:37,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:09:47,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:09:58,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:10:08,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:10:18,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:10:28,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:10:38,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:10:48,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:10:58,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:11:08,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:11:18,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:11:28,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:11:38,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:11:48,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:11:58,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:12:09,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:12:19,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:12:29,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:12:39,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:12:49,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:12:59,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:13:09,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:13:19,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:13:29,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:13:39,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:13:49,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:13:59,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:14:09,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:14:20,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:14:30,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:14:40,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:14:50,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:15:00,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:15:10,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:15:20,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:15:30,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:15:40,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:15:50,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:16:00,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:16:10,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:16:21,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:16:31,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:16:41,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:16:51,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:17:01,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:17:11,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:17:21,,,,,SDL-Maintenance,1,0,SDL-Maintenance
06/10/2025,14:17:31,,,,,SDL-Maintenance,1,0,SDL-Maintenance
